Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Equilibre TCS moyen,Cadence de course moyenne,Cadence de course maximale,Training Stress Score® (TSS®),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Total des sessions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Course à pied,2022-12-21 10:37:32,false,"Audierne Course à pied","1.28","97","00:07:37.4","144","154","1.5","165","172","5:56","5:14","10","13","1.02","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","01:36.49.1","2","27.0","--","--","--","00:07:37.4","00:07:37.4","37","47"
Course à pied,2022-12-20 10:10:20,false,"Course/Trail 15km Audierne","15.25","1,279","01:25:14","149","174","4.7","166","201","5:35","4:01","102","102","1.08","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","01:18.89.4","16","26.0","--","--","--","01:25:11","01:25:14","2","51"
Course à pied,2022-12-19 15:28:35,false,"Course/Trail 10km Audierne","10.44","849","00:57:49","158","179","3.9","166","187","5:32","3:41","146","144","1.09","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","02:31.34.5","11","27.0","--","--","--","00:57:39","00:58:59","-0","48"
Course à pied,2022-12-17 14:54:39,false,"Dompierre-sur-Yon Course à pied","12.56","941","01:05:39","152","186","4.3","169","182","5:14","3:55","68","67","1.13","9.4","10.6","258","49.0% G / 51.0% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","11.0","0:00","Non","01:23.36.3","15","23.0","30","17","44","01:05:33","01:05:39","68","88"
En piscine,2022-12-17 10:20:38,false,"En piscine","2,250","540","01:04:42","126","159","2.5","0","0","1:51","0:40","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","1029","79","25","0","--","0:00","0.0","0:00","Non","00:06.94.2","51","0.0","--","--","--","00:41:43","01:06:10","--","--"
Course à pied,2022-12-16 16:43:21,false,"AS10 : 4x1km @ 4'00/km r : 2'30''","11.23","843","01:03:23","147","187","3.8","161","192","5:39","3:06","36","37","1.09","9.9","10.4","274","49.4% G / 50.6% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","11.0","0:00","Non","02:30.00","14","24.0","30","18","45","01:02:48","01:03:23","69","86"
Course à pied,2022-12-14 16:58:59,false,"Recovery Run","6.39","471","00:37:45","133","154","2.7","162","201","5:55","4:03","59","60","1.03","10.6","11.2","273","49.3% G / 50.7% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","Non","02:19.92.5","7","25.0","28","14","39","00:37:43","00:37:45","57","85"
Course à pied,2022-12-13 16:38:14,false,"VMA : 2x(6x30''/30'') @105% r=2' 30''","8.82","674","00:49:31","151","192","3.7","166","192","5:37","3:10","55","53","1.08","9.9","10.5","273","48.7% G / 51.3% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","9.0","0:00","Non","04:18.10","9","25.0","30","21","42","00:49:29","00:49:31","67","86"
Course à pied,2022-12-12 16:22:55,false,"45' EF","7.71","514","00:43:29","141","157","2.6","165","174","5:39","4:49","50","51","1.07","9.5","10.3","275","49.0% G / 51.0% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","10.0","0:00","Non","04:15.50.1","8","26.0","27","20","37","00:43:27","00:43:29","66","86"
Course à pied,2022-12-08 14:30:50,false,"EF : Sans Objectif","5.20","357","00:27:35","144","175","--","167","180","5:18","3:35","30","48","1.13","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","Non","01:00.09.1","6","25.0","--","--","--","00:27:32","00:27:35","50","86"
