Type d'activité,Date,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Longueur moyenne des foulées,Temps de contact moyen avec le sol
Course à pied,2022-05-18 15:56:31,8.01,530,34.88333333333333,164,185,163,170,4.35,4.0,1.4,0
Course à pied,2022-05-18 09:09:28,6.27,582,76.36666666666666,121,158,69,249,12.183333333333334,2.6,1.19,0
Course à pied,2022-05-14 11:16:34,6.99,541,34.36666666666667,170,186,164,172,4.916666666666667,4.183333333333334,1.24,0
Course à pied,2022-05-10 14:37:17,8.99,745,57.25,155,197,115,210,6.366666666666666,3.25,1.34,0
Course à pied,2022-05-09 15:32:00,12.02,845,53.96666666666667,172,193,163,170,4.483333333333333,3.7,1.37,0
Course à pied,2022-05-06 10:17:55,1.95,145,12.95,133,150,150,166,6.65,5.016666666666667,1.0,0
Course à pied,2022-05-05 15:59:47,6.38,638,34.71666666666667,189,202,155,170,5.433333333333334,4.05,1.19,0
Course à pied,2022-05-05 15:39:51,1.43,148,12.233333333333333,140,174,100,170,8.583333333333334,3.9166666666666665,1.16,0
Course à pied,2022-05-03 17:51:59,5.48,425,33.68333333333333,148,179,124,213,6.15,3.033333333333333,1.33,0
Course à pied,2022-05-01 09:16:58,8.48,625,46.166666666666664,153,184,160,166,5.45,4.866666666666667,1.15,0
Course à pied,2022-04-30 16:12:24,1.55,142,9.6,158,179,144,166,6.183333333333334,5.116666666666666,1.11,0
Course à pied,2022-04-25 08:20:51,6.52,698,87.0,126,178,66,249,13.35,3.1333333333333333,1.2,0
Course à pied,2022-04-22 18:02:34,7.84,570,34.666666666666664,174,196,165,172,4.416666666666667,4.0,1.37,0
Course à pied,2022-04-21 15:24:10,8.58,671,41.18333333333333,173,189,161,168,4.8,4.25,1.29,0
Course à pied,2022-04-19 10:53:55,8.92,690,45.733333333333334,162,184,159,173,5.133333333333334,3.4833333333333334,1.23,0
Course à pied,2022-04-13 15:57:24,7.24,597,46.233333333333334,149,182,135,221,6.383333333333334,1.7833333333333332,1.15,0
Course à pied,2022-04-11 16:23:00,8.73,623,39.56666666666667,166,187,162,172,4.533333333333333,4.1,1.3,0
Course à pied,2022-04-09 16:22:07,5.52,382,24.95,164,183,165,173,4.516666666666667,3.9833333333333334,1.35,0
Course à pied,2022-04-08 11:13:53,4.16,387,21.183333333333334,185,197,158,173,5.1,3.9833333333333334,1.24,0
Course à pied,2022-04-06 17:16:49,6.58,510,35.166666666666664,154,175,162,166,5.35,4.833333333333333,1.16,0
Course à pied,2022-04-05 08:30:10,10.39,653,62.3,137,168,127,187,6.0,3.3333333333333335,1.31,0
Course à pied,2022-04-02 16:54:25,3.66,306,32.516666666666666,125,160,81,196,8.866666666666667,2.9166666666666665,1.4,0
Course à pied,2022-04-02 16:01:44,1.92,181,14.4,142,174,112,183,7.483333333333333,3.2333333333333334,1.2,0
Course à pied,2022-04-01 15:35:11,8.15,631,39.31666666666667,170,191,161,170,4.833333333333333,3.95,1.29,0
Course à pied,2022-03-15 15:51:47,7.29,576,38.733333333333334,160,180,156,162,5.316666666666666,3.966666666666667,1.2,0
Course à pied,2022-03-15 09:00:55,4.26,319,23.816666666666666,149,164,139,172,5.6,3.2333333333333334,1.26,0
Course à pied,2022-03-14 08:42:38,5.26,553,80.45,112,152,57,213,15.283333333333333,3.85,1.14,0
Course à pied,2022-03-14 08:28:55,1.04,76,6.116666666666666,138,150,135,166,5.883333333333333,4.733333333333333,1.22,0
Course à pied,2022-03-13 09:13:26,5.48,430,32.61666666666667,147,181,122,189,5.95,3.4166666666666665,1.38,0
Course à pied,2022-03-12 16:39:31,2.36,166,10.9,159,181,167,172,4.616666666666667,4.25,1.3,0
Course à pied,2022-03-09 08:36:43,13.03,1098,85.76666666666667,148,189,121,233,6.583333333333333,3.4166666666666665,1.24,0
Course à pied,2022-03-08 15:54:29,7.25,546,36.583333333333336,158,175,161,170,5.05,4.3,1.23,0
Course à pied,2022-03-07 10:19:37,9.48,750,65.46666666666667,145,176,107,246,6.916666666666667,2.45,1.35,0
Course à pied,2022-03-04 10:24:05,6.79,538,52.46666666666667,135,157,94,203,7.733333333333333,1.8333333333333335,1.4,0
Course à pied,2022-03-02 09:00:49,4.75,318,21.0,161,182,163,187,4.433333333333334,3.1,1.39,0
Course à pied,2022-03-01 14:29:16,8.45,716,48.35,168,193,147,240,5.716666666666667,3.283333333333333,1.19,0
Course à pied,2022-02-26 17:23:18,10.05,691,45.05,164,184,166,176,4.483333333333333,3.8,1.34,0
Course à pied,2022-02-25 13:52:20,2.0,151,10.633333333333333,151,166,137,174,5.3,3.65,1.4,0
Course à pied,2022-02-25 13:47:54,0.3,39,2.8166666666666664,149,154,121,166,9.45,5.516666666666667,0.87,0
Course à pied,2022-02-25 08:33:23,4.2,339,23.533333333333335,160,185,135,173,5.616666666666667,3.283333333333333,1.32,0
Course à pied,2022-02-23 17:10:00,3.48,306,22.366666666666667,153,170,155,162,6.433333333333334,5.633333333333333,1.01,0
Course à pied,2022-02-21 17:43:55,4.13,268,17.7,160,183,164,172,4.283333333333333,3.6833333333333336,1.42,0
Course à pied,2022-02-19 12:31:34,7.83,562,35.46666666666667,168,189,165,175,4.533333333333333,3.716666666666667,1.34,0
Course à pied,2022-02-17 17:24:16,5.61,392,25.483333333333334,164,192,163,172,4.55,4.2,1.35,0
Course à pied,2022-02-14 11:18:42,10.07,739,47.233333333333334,166,194,164,170,4.683333333333334,4.25,1.3,0
Course à pied,2022-02-13 11:39:16,7.9,565,36.68333333333333,167,182,166,172,4.65,4.166666666666667,1.16,0
Course à pied,2022-02-10 17:00:50,4.16,278,19.933333333333334,152,187,161,170,4.783333333333333,3.65,1.3,0
Course à pied,2022-02-08 16:15:20,4.73,350,26.566666666666666,148,170,111,187,5.616666666666667,3.0166666666666666,1.65,0
Course à pied,2022-02-08 15:49:01,2.89,264,22.25,142,169,107,199,7.716666666666667,3.716666666666667,1.19,0
Course à pied,2022-02-04 08:44:35,7.02,481,29.816666666666666,172,187,168,195,4.25,2.9333333333333336,1.4,0
Course à pied,2022-02-03 17:34:58,2.37,172,13.466666666666667,141,154,154,170,5.683333333333334,4.35,1.14,0
